time_seconds,phase,roll,pitch,yaw,roll_error,pitch_error,roll_correction,pitch_correction,status
0.02,stable_two_foot_start,2.2555,0.6591,1.249,0.0,0.0,-0.0,-0.0,upright
0.04,stable_two_foot_start,2.2593,0.6531,1.2444,0.0038,-0.0059,-0.0013,0.0021,upright
0.06,stable_two_foot_start,2.2623,0.6484,1.2407,0.0068,-0.0107,-0.0024,0.0037,upright
0.08,stable_two_foot_start,2.2647,0.6445,1.2376,0.0092,-0.0146,-0.0032,0.0051,upright
0.1,stable_two_foot_start,2.2669,0.6412,1.235,0.0114,-0.0179,-0.004,0.0063,upright
0.12,stable_two_foot_start,2.2688,0.6381,1.2326,0.0133,-0.0209,-0.0047,0.0073,upright
0.14,stable_two_foot_start,2.2706,0.6354,1.2305,0.0151,-0.0237,-0.0053,0.0083,upright
0.16,stable_two_foot_start,2.2722,0.633,1.2286,0.0167,-0.0261,-0.0058,0.0091,upright
0.18,stable_two_foot_start,2.2736,0.6309,1.2269,0.0181,-0.0282,-0.0063,0.0099,upright
0.2,stable_two_foot_start,2.2747,0.6291,1.2256,0.0192,-0.0299,-0.0067,0.0105,upright
0.22,stable_two_foot_start,2.2757,0.6277,1.2245,0.0202,-0.0314,-0.0071,0.011,upright
0.24,stable_two_foot_start,2.2765,0.6265,1.2236,0.021,-0.0325,-0.0073,0.0114,upright
0.26,stable_two_foot_start,2.2771,0.6256,1.2228,0.0216,-0.0335,-0.0076,0.0117,upright
0.28,stable_two_foot_start,2.2776,0.6249,1.2223,0.0221,-0.0342,-0.0077,0.012,upright
0.3,stable_two_foot_start,2.278,0.6243,1.2218,0.0225,-0.0348,-0.0079,0.0122,upright
0.32,stable_two_foot_start,2.2783,0.6238,1.2215,0.0228,-0.0352,-0.008,0.0123,upright
0.34,stable_two_foot_start,2.2786,0.6235,1.2212,0.023,-0.0356,-0.0081,0.0125,upright
0.36,stable_two_foot_start,2.2787,0.6232,1.221,0.0232,-0.0359,-0.0081,0.0125,upright
0.38,stable_two_foot_start,2.2789,0.623,1.2209,0.0234,-0.0361,-0.0082,0.0126,upright
0.4,stable_two_foot_start,2.279,0.6228,1.2207,0.0235,-0.0362,-0.0082,0.0127,upright
0.42,stable_two_foot_start,2.2791,0.6227,1.2207,0.0236,-0.0363,-0.0083,0.0127,upright
0.44,stable_two_foot_start,2.2792,0.6226,1.2206,0.0236,-0.0364,-0.0083,0.0128,upright
0.46,stable_two_foot_start,2.2792,0.6225,1.2205,0.0237,-0.0365,-0.0083,0.0128,upright
